flag_id,rule,severity,ticker,metric,year,value,message,impact_t,ranking_relevant,evidence,company,gics_sector,ai_verdict,ai_cause,ai_explanation,ai_action,ai_confidence,ai_needs_human,ai_model,route,tokens,ai_first_pass,entscheidung,person,begruendung,final
Q0001,F06_egrid_nicht_versorger,pruefen,BRK-B,t_co2_pro_mwh,2023,0.6792759625475349,"Stromrate eines Nicht-Versorgers: beschreibt Eigenanlagen, nicht das Geschäftsmodell.",0.0,False,"{""kraftwerke"": 113, ""mwh"": 82663659.108, ""branche"": ""Financials""}",Berkshire Hathaway,Financials,fehler,branchenstruktur_real,"Die Belege zeigen für Berkshire Hathaway 113 Kraftwerke und eine Stromerzeugung von 82.663.659,108 MWh. Damit ist die Stromrate als Messwert über die Firma grundsätzlich plausibel, auch wenn die Firma laut Branche nicht als klassischer Versorger erscheint. Nach allgemeinem Wissen kann ein Mischkonzern eigene Energieanlagen besitzen; die Kennzahl könnte also die firmeneigenen Anlagen abbilden. Die Regel, dass ein Nicht-Versorger hier zwangsläufig nur Eigenanlagen statt das Geschäftsmodell beschreibt, reicht mit den Belegen nicht für einen Fehlernachweis.",behalten,0.72,True,gpt-5.4-mini,mensch,764,,,,,offen
Q0002,F06_egrid_nicht_versorger,pruefen,SW,t_co2_pro_mwh,2023,0.1082014658667149,"Stromrate eines Nicht-Versorgers: beschreibt Eigenanlagen, nicht das Geschäftsmodell.",0.0,False,"{""kraftwerke"": 5, ""mwh"": 1466293.339, ""branche"": ""Materials""}",Smurfit Westrock,Materials,plausibel,branchenstruktur_real,"Die Belege zeigen, dass die Firma als Materials-Unternehmen mit eigenen Kraftwerken und gemeldeter Stromerzeugung arbeitet. Laut allgemeinem Wissen können solche Nicht-Versorger über Eigenanlagen Strom erzeugen; eine Stromrate pro MWh kann dann reale betriebliche Emissionen dieser Anlagen abbilden, auch wenn sie nicht das klassische Geschäftsmodell eines Versorgers beschreibt. Aus den vorliegenden Belegen ergibt sich kein eindeutiger Fehler.",behalten,0.62,False,gpt-5.4-mini,automatisch,731,,,,,behalten
Q0003,F10_whd_franchise,pruefen,DG,whd_cases,2024,16.0,"16 Verfahren, davon 14 nur über den Handelsnamen zugeordnet (88%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 16, ""nur_handelsname"": 14, ""rechtsnamen"": {""Dolgencorp, LLC"": 5, ""DolgenCorp, LLC"": 2, ""Dollar General Corporation"": 2, ""DollGenCorp"": 1}, ""handelsnamen"": {""Dollar General"": 15, ""Dollar General Store"": 1}, ""nachzahlung_usd"": 3420.4300000000003}",Dollar General,Consumer Staples,fehler,zuordnung_falsch,Die 16 Verfahren sind überwiegend nur über den Handelsnamen zugeordnet (14 von 16). Laut allgemeinem Wissen können Franchise- oder ähnlich betriebene Filialen eigene Arbeitgeber sein; ohne Franchise- bzw. Arbeitgeber-Offenlegung ist die Zuordnung zur Firma daher nicht belastbar. Als Firmemesswert ist der Wert so nicht verlässlich verrechenbar.,kennzeichnen,0.94,True,gpt-5.4-mini,automatisch,783,,,,,kennzeichnen
Q0004,F10_whd_franchise,pruefen,DPZ,whd_cases,2024,9.0,"9 Verfahren, davon 9 nur über den Handelsnamen zugeordnet (100%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 9, ""nur_handelsname"": 9, ""rechtsnamen"": {""Boston Pie, Inc."": 4, ""The Great Tennessee Pizza Company INC."": 1, ""Team Carolinas Inc"": 1, ""Red Blue Dice Corporation, Red & Blue Dice 2"": 1}, ""handelsnamen"": {""Domino's"": 8, ""Domino's (enterprise)"": 1}, ""nachzahlung_usd"": 42327.12}",Domino's,Consumer Discretionary,fehler,zuordnung_falsch,"Die 9 Verfahren wurden laut Belegen alle nur über den Handelsnamen Domino's zugeordnet. Franchisebetriebe sind rechtlich eigene Arbeitgeber; ohne Offenlegung der Franchise-Struktur ist eine Verrechnung dieser Fälle mit der Mutterfirma als Firmenmesswert irreführend. Laut allgemeinem Wissen kann das eine Zuordnungsfrage sein, nicht zwingend ein echter Firmenwert.",korrigieren,0.94,True,gpt-5.4-mini,automatisch,797,,,,,korrigieren
Q0005,F10_whd_franchise,pruefen,FDX,whd_cases,2024,5.0,"5 Verfahren, davon 4 nur über den Handelsnamen zugeordnet (80%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 5, ""nur_handelsname"": 4, ""rechtsnamen"": {""Bossert Logistics, Inc."": 1, ""FDX Corporation"": 1, ""FedEx Ground Package System, Inc."": 1, ""PEPSHI LOGISTICS CORP."": 1}, ""handelsnamen"": {""FedEx"": 2, ""FedEx Ground"": 1, ""Fedex"": 1, ""FedEX Express"": 1}, ""nachzahlung_usd"": 9401.689999999999}",FedEx,Industrials,fehler,zuordnung_falsch,"Die Belege zeigen, dass 4 von 5 Verfahren nur über den Handelsnamen (z. B. FedEx, FedEx Ground, FedEx Express) zugeordnet wurden. Laut allgemeinem Wissen können solche Handelsnamen mehrere rechtlich getrennte Franchise- oder Konzerngesellschaften bezeichnen; ohne Franchise-/Konzernzuordnung ist die Firmenmessung nicht eindeutig. Als Messwert über die Firma ist die Zahl daher irreführend.",kennzeichnen,0.84,True,gpt-5.4-mini,mensch,821,,,,,offen
Q0006,F10_whd_franchise,pruefen,MCD,whd_cases,2024,64.0,"64 Verfahren, davon 64 nur über den Handelsnamen zugeordnet (100%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 64, ""nur_handelsname"": 64, ""rechtsnamen"": {""Coughlin, Inc."": 5, ""Santonastasso Enterprises, LLC"": 4, ""RAMR Enterprises, LLC"": 3, ""Con Lee Restaurant�s Inc."": 1}, ""handelsnamen"": {""McDonald's"": 54, ""McDonald's (1841)"": 1, ""McDonald's (#15795)"": 1, ""McDonald's (6373)"": 1}, ""nachzahlung_usd"": 426360.37}",McDonald's,Consumer Discretionary,fehler,zuordnung_falsch,Alle 64 Verfahren sind laut Beleg nur über den Handelsnamen zugeordnet; bei McDonald's-Franchisebetrieben sind die eigentlichen Arbeitgeber jedoch die Franchise- oder Betreiberfirmen. Ohne Franchise-Offenlegung ist die Zuordnung der Verfahren zur Mutterfirma nicht belastbar. Damit darf der Wert so nicht als Firmenmesswert verrechnet werden.,unterdruecken,0.94,True,gpt-5.4-mini,automatisch,806,,,,,unterdruecken
Q0007,F10_whd_franchise,pruefen,MKC,whd_cases,2024,7.0,"7 Verfahren, davon 6 nur über den Handelsnamen zugeordnet (86%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 7, ""nur_handelsname"": 6, ""rechtsnamen"": {""J McCormick LLC"": 5, ""McCormick Sand, Inc."": 1, ""McCormicks, LLC"": 1}, ""handelsnamen"": {""McCormick Gas Station #1 and Lunch Box"": 1, ""McCormick Gas Station #2"": 1, ""McCormick Gas Station #3"": 1, ""McCormick Gas Station #4"": 1}, ""nachzahlung_usd"": 10370.29}",McCormick & Company,Consumer Staples,fehler,zuordnung_falsch,"Die 7 Verfahren wirken nach den Belegen nicht belastbar der börsennotierten McCormick & Company zugeordnet: 6 von 7 Fällen wurden nur über den Handelsnamen zugeordnet, und die genannten Rechtsnamen/Handelsnamen deuten auf einzelne Gasstationen bzw. eine andere lokale Einheit hin. Laut allgemeinem Wissen sind Franchisebetriebe bzw. rechtlich getrennte Betreiber eigene Arbeitgeber; ohne klare Franchise- oder Konzernzuordnung darf der Wert nicht als Messwert über die Firma verrechnet werden.",unterdruecken,0.95,True,gpt-5.4-mini,automatisch,846,,,,,unterdruecken
Q0008,F10_whd_franchise,pruefen,PSX,whd_cases,2024,6.0,"6 Verfahren, davon 6 nur über den Handelsnamen zugeordnet (100%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 6, ""nur_handelsname"": 6, ""rechtsnamen"": {""SAI Enterprises, LLC."": 1, ""Cobra Service Station Corp."": 1, ""Rio Plantation Fuel Corp."": 1, ""32 Enterprises Inc."": 1}, ""handelsnamen"": {""Phillips 66"": 3, ""Phillips 66 Gas Station, Betances Ave."": 1, ""Phillips 66 - Rio Plantation II SS"": 1, ""Phillips 66 SEI 38009"": 1}, ""nachzahlung_usd"": 17229.58}",Phillips 66,Energy,fehler,zuordnung_falsch,"Alle 6 Verfahren sind laut Beleg nur über den Handelsnamen zugeordnet; das spricht dafür, dass die Fälle nicht sicher Phillips 66 als Arbeitgeber betreffen, sondern möglicherweise Franchisebetriebe oder rechtlich selbständige Betreiber. Ohne Franchise- bzw. Struktur-Offenlegung darf der Wert nicht als Messwert über die Firma verrechnet werden. Laut allgemeinem Wissen können Tankstellen- und Markenstationen häufig von Dritten betrieben werden; die Belege zeigen aber keine eindeutige Firmenzuordnung über den Rechtsnamen.",unterdruecken,0.92,True,gpt-5.4-mini,automatisch,853,,,,,unterdruecken
Q0009,F10_whd_franchise,pruefen,XOM,whd_cases,2024,11.0,"11 Verfahren, davon 10 nur über den Handelsnamen zugeordnet (91%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 11, ""nur_handelsname"": 10, ""rechtsnamen"": {""XTO Energy Inc"": 1, ""TVEB LLC"": 1, ""BEACHPARK GAS & FOOD LLC"": 1, ""AGM Gas Station, LLC"": 1}, ""handelsnamen"": {""Exxon Mobil"": 3, ""Mobil 65 Inf."": 1, ""Mobil Gas Station"": 1, ""Mobil - PR-2"": 1}, ""nachzahlung_usd"": 183434.71000000002}",ExxonMobil,Energy,fehler,zuordnung_falsch,"Die Belege zeigen, dass 10 von 11 Verfahren nur über den Handelsnamen zugeordnet wurden. Laut allgemeinem Wissen können Franchise- oder Markenstandorte eigene Arbeitgeber sein; ohne Franchise-Offenlegung ist die Zuordnung zum Konzern daher nicht sicher. Als Firmenmesswert ist die Zahl so nicht zuverlässig verrechenbar.",kennzeichnen,0.9,True,gpt-5.4-mini,automatisch,798,,,,,kennzeichnen
Q0010,P01_branchenextrem,pruefen,DTE,echo_penalties_usd,2025,100160386.0,Im Branchenvergleich extrem (robuster z-Wert 3.7 auf log-Skala). Kann real sein.,0.0,False,"{""branche"": ""Utilities"", ""n"": 30, ""median"": 24000.0, ""p90"": 771130.0000000003, ""max"": 100160386.0, ""zeitreihe"": {""2025"": 100160386.0}}",DTE Energy,Utilities,unklar,sonstiges,"Die Belege zeigen nur, dass DTE Energy 2025 mit 100,16 Mio. USD der klare Maximalwert in der Utilities-Vergleichsgruppe ist und weit über Median und p90 liegt. Es gibt aber keinen Quellenbeleg oder Ereignishinweis, der bestätigt, dass dies tatsächlich eine auf die Firma bezogene Strafzahlung ist, und auch keinen Hinweis auf einen konkreten Fehler. Daher lässt sich nicht entscheiden, ob der Wert als Messwert verrechnet werden darf.",kennzeichnen,0.62,True,gpt-5.5,mensch,1022,"{'verdict': 'unklar', 'cause': 'echter_extremwert', 'confidence': 0.67}",,,,offen
