flag_id,rule,severity,ticker,metric,year,value,message,impact_t,ranking_relevant,evidence,company,gics_sector,ai_verdict,ai_cause,ai_explanation,ai_action,ai_confidence,ai_needs_human,ai_model,ai_first_pass,route,tokens,decision,person,reason,final,ai_explanation_format
Q-b23d1d687360163c,F06_egrid_attribution,review,DOW,egrid_mwh,2023,1856617.0,Matched plant generation of 1.9 TWh outside Utilities; review the name-based attribution.,0.0,False,"{""plants"": 1, ""mwh"": 1856617.0, ""co2_t"": 524049.0895584, ""sector"": ""Materials""}",Dow Inc.,Materials,unclear,incorrect_attribution,The evidence links one 1.86 TWh plant to Dow but lacks a plant name or ownership/operator document. Industrial companies can operate captive generation; the available packet cannot establish whether this attribution is wrong.,flag,0.63,True,gpt-5.5,"{'verdict': 'unclear', 'cause': 'incorrect_attribution', 'confidence': 0.58}",human,1149,,,,review,English summary of archived model advice; not a new or independently verified review
Q-b6f534186d8b4472,F09_osha_implausible_hours,review,BR,osha_hours,2025,331670821.0,"Reported hours need review: median 2,391 hours per employee; 48% of reports fall outside 200-4,000 hours.",0.0,False,"{""reports"": 21, ""median_hours_per_employee"": 2391.0434782608695, ""implausible_share"": 0.47619047619047616, ""company_names"": {""Broadridge Financial Solutions"": 18, ""Broadridge Financial Solutions, Inc."": 3}}",Broadridge Financial Solutions,Industrials,error,definition_or_unit,"The archived model questioned the definition, unit, or aggregation of reported hours: median 2,391 hours per employee and almost half the reports outside the configured range. It did not identify a confirmed source-level cause.",correct,0.82,True,gpt-5.4-mini,,human,832,,,,review,English summary of archived model advice; not a new or independently verified review
Q-2b84470683962655,F09_osha_implausible_hours,review,MCD,osha_hours,2025,9433.0,"Reported hours need review: median 50 hours per employee; 100% of reports fall outside 200-4,000 hours.",0.0,False,"{""reports"": 4, ""median_hours_per_employee"": 49.83957219251337, ""implausible_share"": 1.0, ""company_names"": {""McDonald's"": 4}}",McDonald's,Consumer Discretionary,error,definition_or_unit,"The median is about 50 hours per employee and all reports fall outside 200-4,000 hours. The archived model considered 9,433 hours misleading as a company-wide total and suggested a definition or unit issue.",correct,0.96,True,gpt-5.4-mini,,automatic,806,,,,review,English summary of archived model advice; not a new or independently verified review
Q-17b0b77a3773ee2a,F09_osha_implausible_hours,review,NXPI,osha_hours,2025,442449370.0,"Reported hours need review: median 2,130 hours per employee; 33% of reports fall outside 200-4,000 hours.",0.0,False,"{""reports"": 3, ""median_hours_per_employee"": 2129.5854114713215, ""implausible_share"": 0.3333333333333333, ""company_names"": {""NXP Semiconductors"": 3}}",NXP Semiconductors,Information Technology,error,other,"The archived model considered 442,449,370 aggregated hours implausible, despite a full-time-like median and 33% outlying reports. It could not determine the exact cause from the evidence.",flag,0.72,True,gpt-5.4-mini,,human,804,,,,review,English summary of archived model advice; not a new or independently verified review
Q-d132c4579e43b923,F09_osha_implausible_hours,review,VTR,osha_hours,2025,666917.0,"Reported hours need review: median 1,510 hours per employee; 33% of reports fall outside 200-4,000 hours.",0.0,False,"{""reports"": 9, ""median_hours_per_employee"": 1510.3783783783783, ""implausible_share"": 0.3333333333333333, ""company_names"": {""Ventas"": 6, ""VENTAS"": 2, ""Ventas, Inc."": 1}}",Ventas,Real Estate,error,other,"The archived model questioned the reported hours because the median was 1,510 and one-third of reports lay outside the configured range. No specific error mechanism was established.",flag,0.86,True,gpt-5.4-mini,,automatic,797,,,,review,English summary of archived model advice; not a new or independently verified review
Q-46a089761764b2bf,F10_whd_franchise,review,DG,whd_cases,2024,16.0,"16 cases, including 14 matched only by trade name. Independent employers may be involved; confirm corporate attribution.",0.0,False,"{""cases"": 16, ""trade_name_only"": 14, ""legal_names"": {""Dolgencorp, LLC"": 5, ""DolgenCorp, LLC"": 2, ""Dollar General Corporation"": 2, ""DollGenCorp"": 1}, ""trade_names"": {""Dollar General"": 15, ""Dollar General Store"": 1}, ""backwages_usd"": 3420.4300000000003}",Dollar General,Consumer Staples,error,incorrect_attribution,Fourteen of sixteen cases were matched only by trade name. The archived model considered employer attribution insufficient without franchise or ownership disclosures.,flag,0.94,True,gpt-5.4-mini,,automatic,783,,,,review,English summary of archived model advice; not a new or independently verified review
Q-a27c3b5f197272de,F10_whd_franchise,review,DPZ,whd_cases,2024,9.0,"9 cases, including 9 matched only by trade name. Independent employers may be involved; confirm corporate attribution.",0.0,False,"{""cases"": 9, ""trade_name_only"": 9, ""legal_names"": {""Boston Pie, Inc."": 4, ""The Great Tennessee Pizza Company INC."": 1, ""Team Carolinas Inc"": 1, ""Red Blue Dice Corporation, Red & Blue Dice 2"": 1}, ""trade_names"": {""Domino's"": 8, ""Domino's (enterprise)"": 1}, ""backwages_usd"": 42327.12}",Domino's,Consumer Discretionary,error,incorrect_attribution,"All nine cases were matched by the Domino's trade name. Independent franchise employers may be involved, so the archived model considered attribution to the listed parent misleading without further evidence.",correct,0.94,True,gpt-5.4-mini,,automatic,797,,,,review,English summary of archived model advice; not a new or independently verified review
Q-ad46e1e95d4e4401,F10_whd_franchise,review,FDX,whd_cases,2024,5.0,"5 cases, including 4 matched only by trade name. Independent employers may be involved; confirm corporate attribution.",0.0,False,"{""cases"": 5, ""trade_name_only"": 4, ""legal_names"": {""Bossert Logistics, Inc."": 1, ""FDX Corporation"": 1, ""FedEx Ground Package System, Inc."": 1, ""PEPSHI LOGISTICS CORP."": 1}, ""trade_names"": {""FedEx"": 2, ""FedEx Ground"": 1, ""Fedex"": 1, ""FedEX Express"": 1}, ""backwages_usd"": 9401.689999999999}",FedEx,Industrials,error,incorrect_attribution,Four of five cases were matched only through FedEx trade names. The archived model could not establish which legal employers or group entities the cases concerned.,flag,0.84,True,gpt-5.4-mini,,human,821,,,,review,English summary of archived model advice; not a new or independently verified review
Q-6b70d9793580e67c,F10_whd_franchise,review,MCD,whd_cases,2024,64.0,"64 cases, including 64 matched only by trade name. Independent employers may be involved; confirm corporate attribution.",0.0,False,"{""cases"": 64, ""trade_name_only"": 64, ""legal_names"": {""Coughlin, Inc."": 5, ""Santonastasso Enterprises, LLC"": 4, ""RAMR Enterprises, LLC"": 3, ""Con Lee Restaurant�s Inc."": 1}, ""trade_names"": {""McDonald's"": 54, ""McDonald's (1841)"": 1, ""McDonald's (#15795)"": 1, ""McDonald's (6373)"": 1}, ""backwages_usd"": 426360.37}",McDonald's,Consumer Discretionary,error,incorrect_attribution,All 64 cases were matched by the McDonald's trade name. The archived model recommended suppression because franchise/operator employers had not been linked to the listed parent. This recommendation was not a human decision.,suppress,0.94,True,gpt-5.4-mini,,automatic,806,,,,review,English summary of archived model advice; not a new or independently verified review
Q-a8a7f605831e279d,F10_whd_franchise,review,MKC,whd_cases,2024,7.0,"7 cases, including 6 matched only by trade name. Independent employers may be involved; confirm corporate attribution.",0.0,False,"{""cases"": 7, ""trade_name_only"": 6, ""legal_names"": {""J McCormick LLC"": 5, ""McCormick Sand, Inc."": 1, ""McCormicks, LLC"": 1}, ""trade_names"": {""McCormick Gas Station #1 and Lunch Box"": 1, ""McCormick Gas Station #2"": 1, ""McCormick Gas Station #3"": 1, ""McCormick Gas Station #4"": 1}, ""backwages_usd"": 10370.29}",McCormick & Company,Consumer Staples,error,incorrect_attribution,Six of seven cases were matched only by trade name; the packet named gas stations or another local entity. The archived model considered attribution to McCormick & Company unsupported.,suppress,0.95,True,gpt-5.4-mini,,automatic,846,,,,review,English summary of archived model advice; not a new or independently verified review
