regel,ticker,erwartet,ki_urteil,urteil_richtig,erwartete_ursache,ki_ursache,ursache_richtig,konfidenz,route,beleg
F01_doppelte_cik,GOOGL,fehler,plausibel,False,doppelzaehlung,doppelzaehlung,True,0.78,mensch,GOOG und GOOGL teilen CIK 1652044
F02_null_statt_fehlend,KHC,fehler,fehler,True,null_statt_fehlend,null_statt_fehlend,True,0.96,mensch,"4 Anlagen gemeldet, keine Emissionszeile mit Menge"
F03_campd_programm_ohne_co2,MPC,fehler,fehler,True,programm_misst_groesse_nicht,programm_misst_groesse_nicht,True,0.8,mensch,"Programm SIPNOX, CO2 nicht meldepflichtig"
F04_echo_quartale_unmoeglich,TSLA,fehler,fehler,True,doppelzaehlung,doppelzaehlung,True,0.97,automatisch,"1 Anlage, Historie SSSSSSSSSSSS, 2 Join-Zeilen durch 2 Namensschreibweisen"
F06_egrid_nicht_versorger,BRK-B,plausibel,plausibel,True,branchenstruktur_real,branchenstruktur_real,True,0.84,automatisch,Berkshire Hathaway Energy betreibt echte Versorger; nur GICS sagt Financials
F05_egrid_physik,GE,fehler,fehler,True,definition_oder_einheit,programm_misst_groesse_nicht,False,0.86,mensch,"4,44 t/MWh, ein Heizkraftwerk, physikalisch unmöglich als Stromrate"
F07_trend_basis_instabil,PPL,fehler,fehler,True,zuordnung_falsch,programm_misst_groesse_nicht,False,0.88,mensch,"2018 1 Anlage 5 kt, ab 2019 9 Anlagen 28 Mt"
F08_zuordnung_zeitlich,VST,fehler,fehler,True,zuordnung_falsch,zuordnung_falsch,True,0.97,mensch,Talen Energy ist nicht Teil von Vistra
F09_osha_nenner_unplausibel,MCD,fehler,fehler,True,meldefehler_quelle,definition_oder_einheit,False,0.92,mensch,"4 Meldungen, Median 50 h je Beschäftigtem"
F10_whd_zuordnung,APD,fehler,fehler,True,zuordnung_falsch,zuordnung_falsch,True,0.93,mensch,"0 Rohfälle für Air Products, 15 Fälle 'APDC Cleaning Services'"
